field,root.activation.class.relu,root.activation.class.rrelu,root.activation.class.selu,root.activation.class.elu,root.learning_rate.number,root.layer3_size.number,root.weight_decay.number,root.layer1_size.number,root.layer2_layers.number,root.layer3_layers.number,root.layer4_size.number,root.layer2_size.number,root.layer1_layers.number,root.layer4_layers.number
root.activation.class.relu,-0.000405,-12.18,-11.64,-11.95,-1.425,0.6092,-0.3091,1.073,-0.1698,-1.17,-1.455,0.6469,-1.045,-0.06512
root.activation.class.rrelu,-12.18,-0.0175,-11.27,-11.58,0.602,0.6146,0.7548,-0.08848,0.5867,-0.1952,2.584,-0.8691,0.3232,-0.6265
root.activation.class.selu,-11.64,-11.27,0.02371,-11.06,-0.1644,-0.7021,-1.885,0.7384,-0.855,0.1543,-1.314,-0.9957,-0.4401,1.723
root.activation.class.elu,-11.95,-11.58,-11.06,-0.005801,1.015,-0.5526,1.414,-1.739,0.4251,1.244,0.1786,1.197,1.179,-1.0
root.learning_rate.number,-1.425,0.602,-0.1644,1.015,0.03935,2.558,4.64,-6.688,-4.81,5.263,3.271,-7.553,-5.928,-4.045
root.layer3_size.number,0.6092,0.6146,-0.7021,-0.5526,2.558,4.445e-05,1.781,-1.796,-3.738,0.8027,2.967,-1.454,-0.04191,-0.7839
root.weight_decay.number,-0.3091,0.7548,-1.885,1.414,4.64,1.781,19.98,-4.18,-2.866,3.19,1.833,-4.757,-2.959,-4.034
root.layer1_size.number,1.073,-0.08848,0.7384,-1.739,-6.688,-1.796,-4.18,-0.0001944,4.042,-5.944,-3.469,7.82,4.283,5.192
root.layer2_layers.number,-0.1698,0.5867,-0.855,0.4251,-4.81,-3.738,-2.866,4.042,-0.004263,-4.723,-3.338,4.63,2.496,2.796
root.layer3_layers.number,-1.17,-0.1952,0.1543,1.244,5.263,0.8027,3.19,-5.944,-4.723,0.002021,3.743,-5.085,-4.904,-4.113
root.layer4_size.number,-1.455,2.584,-1.314,0.1786,3.271,2.967,1.833,-3.469,-3.338,3.743,3.771e-05,-5.585,-3.737,-4.388
root.layer2_size.number,0.6469,-0.8691,-0.9957,1.197,-7.553,-1.454,-4.757,7.82,4.63,-5.085,-5.585,-5.07e-05,6.165,5.898
root.layer1_layers.number,-1.045,0.3232,-0.4401,1.179,-5.928,-0.04191,-2.959,4.283,2.496,-4.904,-3.737,6.165,-0.007265,3.717
root.layer4_layers.number,-0.06512,-0.6265,1.723,-1.0,-4.045,-0.7839,-4.034,5.192,2.796,-4.113,-4.388,5.898,3.717,0.005153
