field,root.layer_1.learning_rate.number,root.layer_0.max_depth.number,root.layer_0.min_data_in_leaf.number,root.layer_0.learning_rate.number,root.layer_0.bagging_fraction.number,root.layer_1.boosting_rounds.number,root.layer_1.min_data_in_leaf.number,root.layer_1.num_leaves.number,root.layer_0.feature_fraction.number,root.layer_0.input_window.number,root.layer_0.num_leaves.number,root.layer_1.input_window.number,root.layer_1.max_depth.number,root.layer_0.boosting_rounds.number
root.layer_1.learning_rate.number,28.319983709343234,-0.045607491518542966,0.1666756238445608,-0.06980711062434575,0.19110776331774662,0.03723992639355507,0.12091740103219994,-0.19894435800590884,-0.17279829189296136,0.19154344366128476,-0.02984764671783695,-0.0038231782573319145,-0.21826272908501482,0.22966509029621318
root.layer_0.max_depth.number,-0.045607491518542966,1.0305691315089274,-0.032769130118693694,0.010799194583762398,-0.04476528087390417,0.0012901257693088543,-0.041570940545247174,0.038637056931204054,0.029462064785980298,-0.047528311128463924,0.0020650389991425525,0.0016749635254360783,0.04480294627337901,-0.06645774585858
root.layer_0.min_data_in_leaf.number,0.1666756238445608,-0.032769130118693694,0.9995062064260067,-0.07644933867621354,0.13594823930034747,0.003015316686328354,0.11235305480255958,-0.15546066330531236,-0.14336216571697113,0.1469166312918739,-0.02283799282734069,-0.004139738900488,-0.17218415794761338,0.15887386768610542
root.layer_0.learning_rate.number,-0.06980711062434575,0.010799194583762398,-0.07644933867621354,13.20599338088314,-0.056568571259121354,-0.0038973092467023615,-0.05471399661481186,0.07726813316354121,0.06679933638355964,-0.08263210493162337,0.014467888178686616,0.01268409448167744,0.058045510973826875,-0.08304511790566618
root.layer_0.bagging_fraction.number,0.19110776331774662,-0.04476528087390417,0.13594823930034747,-0.056568571259121354,3.4035225500412563,0.03825825571401287,0.1160410285312481,-0.1486022012497757,-0.15123161124400863,0.17367309199000422,-0.047225860946588955,-0.004532988671967589,-0.18925887494941118,0.22117681159960506
root.layer_1.boosting_rounds.number,0.03723992639355507,0.0012901257693088543,0.003015316686328354,-0.0038973092467023615,0.03825825571401287,0.9994915156974952,0.011647965041210842,-0.02554185708362462,-0.018784262156586327,0.03811546895674402,0.0041393896992939225,-0.004623997882028499,-0.041725240062249806,0.028735604191992583
root.layer_1.min_data_in_leaf.number,0.12091740103219994,-0.041570940545247174,0.11235305480255958,-0.05471399661481186,0.1160410285312481,0.011647965041210842,0.9992040134989221,-0.13522830212876602,-0.11052309442034196,0.11653643959559527,-0.03516357636980382,0.018304716793512046,-0.13375192731957947,0.1508436710089673
root.layer_1.num_leaves.number,-0.19894435800590884,0.038637056931204054,-0.15546066330531236,0.07726813316354121,-0.1486022012497757,-0.02554185708362462,-0.13522830212876602,0.9999319941584958,0.16304463824297827,-0.17742117317513673,0.03439537268402167,-0.011536272601345699,0.20696113401235944,-0.19301537866373533
root.layer_0.feature_fraction.number,-0.17279829189296136,0.029462064785980298,-0.14336216571697113,0.06679933638355964,-0.15123161124400863,-0.018784262156586327,-0.11052309442034196,0.16304463824297827,8.144823106046923,-0.14013311377187576,0.014395538592993869,-5.232594395622801e-05,0.17402098752990575,-0.17754957681377656
root.layer_0.input_window.number,0.19154344366128476,-0.047528311128463924,0.1469166312918739,-0.08263210493162337,0.17367309199000422,0.03811546895674402,0.11653643959559527,-0.17742117317513673,-0.14013311377187576,1.1670620191183065,-0.026057356629719367,0.007989943924682844,-0.19385564087924073,0.21750012812697617
root.layer_0.num_leaves.number,-0.02984764671783695,0.0020650389991425525,-0.02283799282734069,0.014467888178686616,-0.047225860946588955,0.0041393896992939225,-0.03516357636980382,0.03439537268402167,0.014395538592993869,-0.026057356629719367,1.0001784065160377,0.013631847548253655,0.04122429564397189,-0.06054012905343806
root.layer_1.input_window.number,-0.0038231782573319145,0.0016749635254360783,-0.004139738900488,0.01268409448167744,-0.004532988671967589,-0.004623997882028499,0.018304716793512046,-0.011536272601345699,-5.232594395622801e-05,0.007989943924682844,0.013631847548253655,1.3477148303703257,0.01767161818018405,-0.0022525584448443562
root.layer_1.max_depth.number,-0.21826272908501482,0.04480294627337901,-0.17218415794761338,0.058045510973826875,-0.18925887494941118,-0.041725240062249806,-0.13375192731957947,0.20696113401235944,0.17402098752990575,-0.19385564087924073,0.04122429564397189,0.01767161818018405,1.0080719606877848,-0.24930924750257674
root.layer_0.boosting_rounds.number,0.22966509029621318,-0.06645774585858,0.15887386768610542,-0.08304511790566618,0.22117681159960506,0.028735604191992583,0.1508436710089673,-0.19301537866373533,-0.17754957681377656,0.21750012812697617,-0.06054012905343806,-0.0022525584448443562,-0.24930924750257674,0.9993753194334484
